,Ruby Waves: Sign. Wave Height,Ruby Waves: Max. Wave Height,Ruby Waves: Peak Wave Period,"Ruby Waves: Wave Period, T02",Ruby Waves: Mean Wave Direction,Ruby Waves: x-comp. of wave height vector,Ruby Waves: y-comp. of wave height vector,Ruby Waves: Wind speed,Ruby Waves: Wind direction
2020-08-10 00:00:00,1.564181923866272,3.056314706802368,7.508512496948242,4.508850574493408,69.9588623046875,-1.4690840244293213,-0.5362155437469482,7.031209468841553,77.99755859375
2020-08-10 00:30:00,1.5722455978393555,3.0737342834472656,7.503615379333496,4.4731597900390625,70.2603988647461,-1.4794782400131226,-0.5311963558197021,7.171144962310791,76.82740783691406
2020-08-10 01:00:00,1.5822421312332153,3.095059633255005,7.498624801635742,4.436145782470703,70.48104858398438,-1.4909429550170898,-0.5288291573524475,7.314140319824219,75.70269775390625
2020-08-10 01:30:00,1.5909186601638794,3.113239049911499,7.493350505828857,4.415550708770752,70.64258575439453,-1.5006237030029297,-0.5274926424026489,7.288978099822998,75.50863647460938
2020-08-10 02:00:00,1.596757411956787,3.1252622604370117,7.487467288970947,4.4095778465271,70.7691650390625,-1.507309079170227,-0.5260918140411377,7.26392936706543,75.31282043457031
2020-08-10 02:30:00,1.6008671522140503,3.133638620376587,7.480727195739746,4.408876895904541,70.9510269165039,-1.5128716230392456,-0.5226426720619202,7.269914150238037,77.02791595458984
2020-08-10 03:00:00,1.6041463613510132,3.140317916870117,7.473069667816162,4.408735275268555,71.24409484863281,-1.5186492204666138,-0.5159516930580139,7.282548904418945,78.73870086669922
2020-08-10 03:30:00,1.606276035308838,3.1446359157562256,7.464579105377197,4.4103684425354,71.58040618896484,-1.523682951927185,-0.5077018737792969,7.252718925476074,79.24868774414062
2020-08-10 04:00:00,1.6072145700454712,3.1465256214141846,7.4552764892578125,4.413501739501953,71.9107666015625,-1.52747642993927,-0.49920326471328735,7.223721981048584,79.76261138916016
2020-08-10 04:30:00,1.6073819398880005,3.146822929382324,7.444806098937988,4.418259143829346,72.13460540771484,-1.5295701026916504,-0.49328774213790894,7.184697151184082,77.6923828125
2020-08-10 05:00:00,1.6068543195724487,3.145656108856201,7.43235445022583,4.424914360046387,72.21833801269531,-1.5297826528549194,-0.4908929467201233,7.155513286590576,75.60491180419922
2020-08-10 05:30:00,1.6040064096450806,3.1395227909088135,7.417159557342529,4.441921234130859,72.25979614257812,-1.5274204015731812,-0.4889211654663086,7.012631893157959,75.35078430175781
2020-08-10 06:00:00,1.5977520942687988,3.1262238025665283,7.399206161499023,4.470510005950928,72.28410339355469,-1.5216647386550903,-0.4863710105419159,6.870059490203857,75.08769226074219
2020-08-10 06:30:00,1.5867937803268433,3.1030426025390625,7.379472732543945,4.516211986541748,72.19630432128906,-1.5104767084121704,-0.485343873500824,6.668145179748535,72.62090301513672
2020-08-10 07:00:00,1.5705100297927856,3.068744421005249,7.3593878746032715,4.580698490142822,71.98990631103516,-1.4932243824005127,-0.4857420027256012,6.47959041595459,70.00470733642578
2020-08-10 07:30:00,1.5576250553131104,3.042144775390625,7.338835716247559,4.614459037780762,71.75314331054688,-1.478963851928711,-0.48788124322891235,6.519443511962891,69.20650482177734
2020-08-10 08:00:00,1.5489301681518555,3.0245747566223145,7.3187360763549805,4.625242710113525,71.51854705810547,-1.468707799911499,-0.49118730425834656,6.560769081115723,68.41859436035156
2020-08-10 08:30:00,1.5437440872192383,3.0144271850585938,7.300563812255859,4.6210408210754395,71.32820892333984,-1.4621546268463135,-0.4944137632846832,6.663888931274414,69.84444427490234
2020-08-10 09:00:00,1.5426967144012451,3.0129892826080322,7.284482002258301,4.600498676300049,71.20413970947266,-1.4600825309753418,-0.49726516008377075,6.771035671234131,71.22632598876953
2020-08-10 09:30:00,1.5504213571548462,3.030057191848755,7.269549369812012,4.544251918792725,71.14839935302734,-1.466901183128357,-0.5012152194976807,6.99807596206665,72.9079360961914
2020-08-10 10:00:00,1.5674779415130615,3.066240072250366,7.253958702087402,4.472501277923584,71.17892456054688,-1.4833111763000488,-0.5059486031532288,7.230961322784424,74.48163604736328
2020-08-10 10:30:00,1.5844391584396362,3.1011738777160645,7.2357001304626465,4.436371326446533,71.19283294677734,-1.4994893074035645,-0.511036217212677,7.173816680908203,74.11400604248047
2020-08-10 11:00:00,1.5951228141784668,3.122410774230957,7.214439392089844,4.436135768890381,71.1326675415039,-1.5090621709823608,-0.5160311460494995,7.117064476013184,73.74110412597656
2020-08-10 11:30:00,1.5993975400924683,3.1302804946899414,7.192566394805908,4.45366096496582,71.0280532836914,-1.5121643543243408,-0.520149827003479,7.022883415222168,72.78712463378906
2020-08-10 12:00:00,1.5983703136444092,3.1273982524871826,7.173668384552002,4.477931499481201,70.92727661132812,-1.51028311252594,-0.5224667191505432,6.930716514587402,71.8076400756836
2020-08-10 12:00:00,1.5983703136444092,3.1273982524871826,7.173667907714844,4.477931499481201,70.92727661132812,-1.51028311252594,-0.5224667191505432,6.930716514587402,71.8076400756836
2020-08-10 12:30:00,1.5956149101257324,3.121433973312378,7.160032749176025,4.492302417755127,70.94517517089844,-1.5078532695770264,-0.521099328994751,6.984349727630615,72.93603515625
2020-08-10 13:00:00,1.5946135520935059,3.119623899459839,7.1517462730407715,4.487415790557861,71.12299346923828,-1.5085303783416748,-0.5160983800888062,7.040770530700684,74.04617309570312
2020-08-10 13:30:00,1.5937074422836304,3.1181468963623047,7.147395610809326,4.480052947998047,71.39239501953125,-1.5100886821746826,-0.5087102055549622,7.01174259185791,74.62586975097656
